"acc_id","char_id","pledge_id","pledge_combat_cnt","combat_play_time","pledge_combat_cnt_change","combat_play_time_change"
2,233598,NA,0,0,0,0
8,257304,21094,2.03435622748885,68.0103095495873,1117,587151
17,135044,1956,0.27501145062741,40.1692771864827,151,346792
20,149667,21479,6.70226581661503,57.9618512079746,3680,500400
31,346526,23893,7.36156479096683,34.0689197609847,4042,294126
38,67497,7971,0.200339467344471,9.10142377831056,110,78575
43,388134,6949,0.644728831272206,15.0732087520882,354,130131
50,78995,NA,0,0,0,0
53,60446,21965,0.429819220848138,7.89261107006431,236,68139
59,394351,NA,0,0,0,0
62,369719,2305,0.109276073096984,22.4982099234183,60,194233
65,270517,NA,0,0,0,0
66,127862,11375,10.1135005651259,27.3734224643704,5553,236322
67,267831,8744,8.44157664674202,47.5473667875905,4635,410489
69,350040,28682,5.91365682243179,45.2819433544858,3247,390931
75,352821,19006,0.0418891613538439,10.5246397371283,23,90862
76,280717,NA,0,0,0,0
77,22622,NA,0,0,0,0
79,225036,NA,0,0,0,0
81,297398,18736,0.114739876751833,24.2210807764707,63,209107
86,29793,NA,0,0,0,0
91,320252,25920,0,29.0315437674123,0,250637
92,219750,34901,0,32.5228070712883,0,280778
97,120776,NA,0,0,0,0
98,205300,30432,17.427712391084,21.9021434040014,9569,189087
113,52943,15350,0,0.20583175379011,0,1777
119,136814,32058,0,61.1571662108187,0,527986
129,148992,34274,0,8.53084008716251,0,73649
137,345689,NA,0,0,0,0
145,168571,39007,0,1.75402940216299,0,15143
149,248148,11976,0.0200339467344471,0.120811772202073,11,1043
154,142043,3020,3.16718485192759,27.9420370278795,1739,241231
155,89374,32462,0,20.0374953609439,0,172989
161,169821,27147,0,0.612862019866894,0,5291
163,179915,NA,0,0,0,0
172,277012,NA,0,0,0,0
173,247626,18904,0.105633537327085,29.2860245569885,58,252834
174,142049,32823,0.0418891613538439,72.6119291797616,23,626878
176,131026,22894,0.0910633942474868,16.1689703676506,50,139591
181,182219,35519,0,0.0240928558178631,0,208
186,10418,8871,0,4.33184914363676,0,37398
203,145563,18756,0.236764825043466,52.551962597526,130,453695
204,199625,26899,0,12.0229142083016,0,103797
207,149549,25690,2.03799876325875,15.9198178058034,1119,137440
209,267008,NA,0,0,0,0
215,250024,NA,0,0,0,0
216,368425,NA,0,0,0,0
217,36613,13214,26.1825471140374,181.918551911542,14376,1570551
223,296468,9029,0,0.254828282688937,0,2200
226,126508,32961,0.158450305990627,35.4861125058479,87,306361
232,69843,12802,0.468065846432082,20.0705072066559,257,173274
247,279134,7490,0.641086295502307,73.1066435412909,352,631149
250,78425,30629,0,59.0520529337329,0,509812
257,308364,32414,0.0382466255839444,13.5112272102426,21,116646
262,261572,16003,0,7.80087288829629,0,67347
266,176799,8573,0,16.4407099818271,0,141937
273,268403,36949,8.46707439713132,56.9780982057577,4649,491907
276,195617,7293,0.0710294475130397,21.1846859571944,39,182893
280,81092,NA,0,0,0,0
283,359366,6478,39.3066034929852,39.8013978111099,21582,343616
284,331903,20762,0,30.5066520310685,0,263372
295,23533,34551,0.564593044334418,22.0277042487445,310,190171
299,18003,NA,0,0,0,0
309,262604,10843,14.3606972728287,177.186506533046,7885,1529698
310,285881,17546,95.2796294011454,221.158748345548,52315,1909322
311,357689,NA,0,0,0,0
326,156952,NA,0,0,0,0
328,58694,NA,0,0,0,0
334,333893,34747,0,0.385138199973053,0,3325
335,29166,16966,0.20580327099932,4.0296459665752,113,34789
337,25065,12635,0,0.00833983470618339,0,72
340,224319,334,0,1.3708603298289,0,11835
341,285779,8442,0,7.39766504645984,0,63866
344,17411,NA,0,0,0,0
347,312502,22250,0.418891613538439,9.39239134472629,230,81087
350,92896,8419,5.80255948144986,71.8582166181903,3186,620371
352,263249,25142,0.0637443759732407,25.3334062304079,35,218710
358,361932,NA,0,0,0,0
362,195209,NA,0,0,0,0
365,397111,6284,0.00546380365484921,18.5523097970177,3,160167
371,234977,32091,0,34.289809549661,0,296033
390,223300,34526,0,0.0909273645049162,0,785
391,346391,485,0.296866665246807,18.5818467116021,163,160422
393,122788,NA,0,0,0,0
396,77425,NA,0,0,0,0
400,225417,NA,0,0,0,0
403,61275,2727,0.861459709581225,111.20810504479,473,960089
404,279455,24935,0,0,0,0
405,219467,NA,0,0,0,0
409,29301,22091,0,53.6015076290917,0,462756
411,60979,2727,0.803179137262833,91.4337778012416,441,789372
413,389632,15655,5.16147318594755,143.719444843358,2834,1240768
423,342598,35123,0.00910633942474868,36.5290551682712,5,315365
425,76823,38658,0.0546380365484921,9.41092431074003,30,81247
446,118751,NA,0,0,0,0
456,393229,21094,2.01614354863936,65.8623387885947,1107,568607
458,37082,30063,0.0236764825043466,117.123943627414,13,1011162
462,268345,39601,4.74986664394891,48.3124307908452,2608,417094
473,83190,NA,0,0,0,0
474,261589,1724,0.0291402861591958,11.3985849157137,16,98407
475,77017,20342,61.3512299724168,115.390068825791,33686,996193
476,115356,NA,0,0,0,0
484,213270,32175,0,0.946339577076643,0,8170
487,342760,2146,0.0163914109645476,82.7998480906277,9,714833
488,383888,25467,0.0254977503892963,13.5294126831436,14,116803
492,226981,NA,0,0,0,0
494,36688,1796,0.497206132591278,45.1760737861323,273,390017
510,268018,39048,0,1.02672631716124,0,8864
523,242955,9386,0,0.974602350247598,0,8414
526,341038,NA,0,0,0,0
527,165554,34721,0,0,0,0
528,208323,NA,0,0,0,0
532,303675,1256,0.402500202573892,23.547754954984,221,203294
538,300207,3,29.6666325779462,43.8261788741065,16289,378363
541,43839,12653,33.2144624178283,35.0268424418199,18237,302396
542,80435,NA,0,0,0,0
546,263905,10752,0,23.9246691512884,0,206548
550,82328,33362,0,0,0,0
555,355148,20342,62.502271275705,117.624681202898,34318,1015485
556,290726,16374,2.50606460969084,30.0785405161511,1376,259676
561,57728,7251,0.0637443759732407,16.87287558306,35,145668
562,128194,34438,12.501182762295,34.7765315695968,6864,300235
563,342836,33648,51.5564512871571,133.718824720268,28308,1154430
571,178596,NA,0,0,0,0
574,51601,NA,0,0,0,0
582,171175,37447,0,30.354913371831,0,262062
597,23411,20342,56.0222001410539,104.190597463687,30760,899505
598,6444,NA,0,0,0,0
606,32939,4642,0.0163914109645476,19.4639000628186,9,168037
611,110818,2305,0.112918608866884,26.5438405731804,62,229160
619,290981,29159,0.162092841760526,5.92800084157019,89,51178
623,214488,7891,19.4493197433782,111.306561426738,10679,960939
625,226822,27924,0.0546380365484921,23.7038951936497,30,204642
632,103130,NA,0,0,0,0
633,137044,25379,0.100169733672235,34.6252562345097,55,298929
635,346021,1596,0,32.5809542521565,0,281280
636,32547,NA,0,0,0,0
637,204041,32247,0.520882615095624,7.81384596450591,286,67459
644,182658,5133,0.198518199459521,35.8689340850693,109,309666
648,1206,2339,0,6.09155426664145,0,52590
652,230120,7175,0.234943557158516,30.1750277704601,129,260509
656,283297,17426,0.329649487175902,10.5886943009133,181,91415
661,105801,NA,0,0,0,0
663,191582,19530,0,0.424057428601908,0,3661
665,275402,NA,0,0,0,0
667,304546,38877,0,1.61259970527063,0,13922
668,263114,29631,0.0491742328936429,3.11203248681985,27,26867
674,261646,32216,0.027319018274246,16.0039111390908,15,138166
677,127116,5027,0.0109276073096984,6.10371652558797,6,52695
678,383916,NA,0,0,0,0
687,123574,20041,6.66401919103108,46.606587100318,3659,402367
691,395564,19701,0.287760325822058,31.6470085961015,158,273217
695,356968,11375,13.0548481993197,40.8277766351584,7168,352477
696,319184,26463,0,0.444443691217023,0,3837
697,43957,16426,0,2.77924991583562,0,23994
698,393427,NA,0,0,0,0
699,309150,NA,0,0,0,0
701,19268,8734,1.82855295648953,24.4255225578098,1004,210872
705,91391,23401,0.335113290830751,9.21389571580645,184,79546
710,289521,26555,0.0182126788494974,16.5602476126157,10,142969
711,266218,NA,0,0,0,0
712,170844,32044,9.65089852234865,19.4167568305211,5299,167630
714,238066,24319,26.4211332069658,79.9352307000913,14507,690102
722,331329,8419,4.52038689044524,71.8658614666709,2482,620437
729,316275,NA,0,0,0,0
730,66525,NA,0,0,0,0
731,24310,25449,0.0455316971237434,7.3766996286568,25,63685
735,254568,14549,0.0528167686635423,32.8425007350254,29,283538
736,386071,31829,0,1.77082490261294,0,15288
737,281366,NA,0,0,0,0
745,299097,30145,0.0746719832829392,16.1759202299058,41,139651
748,38381,39125,0,27.2058149529837,0,234875
753,370740,27549,0,39.4668777745619,0,340728
758,249045,24105,0.196696931574571,2.72573597647094,108,23532
762,14175,7488,0.0327828219290952,14.950196190172,18,129069
768,89444,36069,0,2.19024908971141,0,18909
775,82796,16374,0.724864618209995,8.63601466929049,398,74557
777,222798,6426,0.109276073096984,7.89666515637982,60,68174
778,205390,34916,0,148.700063628513,0,1283767
783,71262,35797,0,44.9060716375197,0,387686
784,88351,NA,0,0,0,0
785,330733,649,0.105633537327085,11.5259990570582,58,99507
787,27983,NA,0,0,0,0
792,185933,4487,0.222194681963868,1.69553472818212,122,14638
794,4143,33905,0,1.30124587623978,0,11234
795,65898,38266,90.5388690966213,150.085287007003,49712,1295726
797,5172,23005,0,4.11397096193772,0,35517
799,386609,11787,0,7.25924695654471,0,62671
800,225147,17241,144.160638165311,152.499900816518,79154,1316572
805,338925,NA,0,0,0,0
811,272210,NA,0,0,0,0
812,54774,NA,0,0,0,0
817,32342,20173,0,14.5254437753446,0,125402
819,251835,39129,95.3087696873046,161.178888800753,52331,1391500
820,106940,22270,0.464423310662183,39.8688114749849,255,344198
826,359369,15856,9.31760649940285,39.1646745975003,5116,338119
833,249406,35009,0,6.19232726934117,0,53460
839,334476,5752,0,11.8383953654273,0,102204
848,104182,22374,0,8.70991487127028,0,75195
849,329290,1916,0.0947059300173862,7.63604532181158,52,65924
850,181063,22091,0,53.7363349568417,0,463920
856,250855,11516,0.0764932511678889,57.4861331366094,42,496293
868,336500,39179,0,0.132279044923075,0,1142
875,386402,34041,0.0218552146193968,2.00538275372435,12,17313
878,8298,NA,0,0,0,0
880,62978,6074,3.81737748685465,6.01892820607511,2096,51963
881,24650,11361,0.866923513236074,9.13327731364667,476,78850
882,13653,36740,0.154807770220728,50.1520593297842,85,432976
883,354242,5998,0.0801357869377884,2.84492611414681,44,24561
899,140442,4894,0,13.898797862005,0,119992
900,321396,18163,0.00546380365484921,13.0791774400473,3,112916
906,392506,22772,0,3.1740020919283,0,27402
908,317606,NA,0,0,0,0
